start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1779066600,1779066660,2026-05-18T01:10:00+00:00,2026-05-18T01:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066660,1779066720,2026-05-18T01:11:00+00:00,2026-05-18T01:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066720,1779066780,2026-05-18T01:12:00+00:00,2026-05-18T01:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066780,1779066840,2026-05-18T01:13:00+00:00,2026-05-18T01:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066840,1779066900,2026-05-18T01:14:00+00:00,2026-05-18T01:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066900,1779066960,2026-05-18T01:15:00+00:00,2026-05-18T01:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066960,1779067020,2026-05-18T01:16:00+00:00,2026-05-18T01:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067020,1779067080,2026-05-18T01:17:00+00:00,2026-05-18T01:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067080,1779067140,2026-05-18T01:18:00+00:00,2026-05-18T01:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067140,1779067200,2026-05-18T01:19:00+00:00,2026-05-18T01:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067200,1779067260,2026-05-18T01:20:00+00:00,2026-05-18T01:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067260,1779067320,2026-05-18T01:21:00+00:00,2026-05-18T01:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067320,1779067380,2026-05-18T01:22:00+00:00,2026-05-18T01:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067380,1779067440,2026-05-18T01:23:00+00:00,2026-05-18T01:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067440,1779067500,2026-05-18T01:24:00+00:00,2026-05-18T01:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067500,1779067560,2026-05-18T01:25:00+00:00,2026-05-18T01:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067560,1779067620,2026-05-18T01:26:00+00:00,2026-05-18T01:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1779067620,1779067680,2026-05-18T01:27:00+00:00,2026-05-18T01:28:00+00:00,,,,,,,,,,,,,,,,,,,,
